theta_deg,period_px,cut,source,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24
0,1.00,row_horizontal,computed,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
0,1.00,col_vertical,computed,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
180,1.00,row_horizontal,rot180,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
180,1.00,col_vertical,rot180,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
0,1.10,row_horizontal,computed,P0,P15,P15,P15,P14,P13,P12,P11,P8,P7,P6,P15,P15,P15,P15,P14,P13,P12,P11,P8,P7,P6,P15,P15,P15
0,1.10,col_vertical,computed,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15
180,1.10,row_horizontal,rot180,P14,P15,P15,P15,P15,P6,P7,P8,P11,P12,P13,P14,P15,P15,P15,P15,P6,P7,P8,P11,P12,P13,P14,P15,P15
180,1.10,col_vertical,rot180,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15
0,1.20,row_horizontal,computed,P0,P15,P15,P13,P10,P7,P0,P15,P15,P13,P10,P7,P0,P15,P15,P13,P10,P7,P0,P15,P15,P13,P10,P7,P0
0,1.20,col_vertical,computed,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
180,1.20,row_horizontal,rot180,P15,P0,P7,P10,P13,P15,P15,P0,P7,P10,P13,P15,P15,P0,P7,P10,P13,P15,P15,P0,P7,P10,P13,P15,P15
180,1.20,col_vertical,rot180,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15
0,1.30,row_horizontal,computed,P0,P15,P13,P10,P5,P15,P14,P11,P7,P15,P15,P12,P8,P0,P15,P13,P10,P5,P15,P14,P11,P7,P15,P15,P12
0,1.30,col_vertical,computed,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8
180,1.30,row_horizontal,rot180,P15,P5,P10,P13,P15,P0,P8,P12,P15,P15,P7,P11,P14,P15,P5,P10,P13,P15,P0,P8,P12,P15,P15,P7,P11
180,1.30,col_vertical,rot180,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14
0,1.40,row_horizontal,computed,P0,P15,P12,P7,P15,P14,P9,P0,P15,P12,P7,P15,P14,P9,P0,P15,P12,P7,P15,P14,P9,P0,P15,P12,P7
0,1.40,col_vertical,computed,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14
180,1.40,row_horizontal,rot180,P9,P14,P15,P7,P12,P15,P0,P9,P14,P15,P7,P12,P15,P0,P9,P14,P15,P7,P12,P15,P0,P9,P14,P15,P7
180,1.40,col_vertical,rot180,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15
0,1.50,row_horizontal,computed,P0,P15,P10,P0,P15,P10,P0,P15,P10,P0,P15,P10,P0,P15,P10,P0,P15,P10,P0,P15,P10,P0,P15,P10,P0
0,1.50,col_vertical,computed,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
180,1.50,row_horizontal,rot180,P15,P0,P10,P15,P0,P10,P15,P0,P10,P15,P0,P10,P15,P0,P10,P15,P0,P10,P15,P0,P10,P15,P0,P10,P15
180,1.50,col_vertical,rot180,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15,P15
0,1.60,row_horizontal,computed,P0,P14,P8,P15,P13,P7,P15,P11,P0,P14,P8,P15,P13,P7,P15,P11,P0,P14,P8,P15,P13,P7,P15,P11,P0
0,1.60,col_vertical,computed,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13,P13
180,1.60,row_horizontal,rot180,P7,P13,P15,P8,P14,P0,P11,P15,P7,P13,P15,P8,P14,P0,P11,P15,P7,P13,P15,P8,P14,P0,P11,P15,P7
180,1.60,col_vertical,rot180,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14
0,1.70,row_horizontal,computed,P0,P14,P7,P15,P11,P15,P13,P7,P15,P9,P15,P12,P5,P14,P8,P15,P11,P0,P14,P7,P15,P11,P15,P13,P7
0,1.70,col_vertical,computed,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5,P5
