theta_deg,period_px,anchor,quant_rule,source,shift_frac,levels_used,eta_grating,eta_free_anchor,eta_legacy,eta_envelope,order_split,eta_total,steer_deg,nyquist_ok,alias_period_px,alias_reversed
0,1.00,free,lut,computed,0.000000,P0,1.000000,1.000000,1.000000,0.006266,2,0.003133,4.8068,0,inf,0
180,1.00,free,lut,rot180,0.000000,P0,1.000000,1.000000,1.000000,0.006266,2,0.003133,4.8068,0,inf,0
0,1.10,free,lut,computed,0.000000,P0|P6|P7|P8|P11|P12|P13|P14|P15,0.730606,0.730606,0.730606,0.029645,1,0.021658,4.3689,0,11.0000,1
180,1.10,free,lut,rot180,0.000000,P0|P6|P7|P8|P11|P12|P13|P14|P15,0.730606,0.730606,0.780043,0.029645,1,0.021658,4.3689,0,11.0000,1
0,1.20,free,lut,computed,0.000000,P0|P7|P10|P13|P15,0.828152,0.828152,0.828152,0.065326,1,0.054100,4.0042,0,6.0000,1
180,1.20,free,lut,rot180,0.000000,P0|P7|P10|P13|P15,0.828152,0.828152,0.828380,0.065326,1,0.054100,4.0042,0,6.0000,1
0,1.30,free,lut,computed,0.000000,P0|P5|P7|P8|P10|P11|P12|P13|P14|P15,0.776482,0.776482,0.776482,0.108108,1,0.083944,3.6958,0,4.3333,1
180,1.30,free,lut,rot180,0.000000,P0|P5|P7|P8|P10|P11|P12|P13|P14|P15,0.776482,0.776482,0.775933,0.108108,1,0.083944,3.6958,0,4.3333,1
0,1.40,free,lut,computed,0.000000,P0|P7|P9|P12|P14|P15,0.828780,0.828780,0.828780,0.153996,1,0.127629,3.4315,0,3.5000,1
180,1.40,free,lut,rot180,0.000000,P0|P7|P9|P12|P14|P15,0.828780,0.828780,0.789203,0.153996,1,0.127629,3.4315,0,3.5000,1
0,1.50,free,lut,computed,0.000000,P0|P10|P15,0.909223,0.909223,0.909223,0.200273,1,0.182093,3.2024,0,3.0000,1
180,1.50,free,lut,rot180,0.000000,P0|P10|P15,0.909223,0.909223,0.909110,0.200273,1,0.182093,3.2024,0,3.0000,1
0,1.60,free,lut,computed,0.000000,P0|P7|P8|P11|P13|P14|P15,0.779717,0.779717,0.779717,0.245247,1,0.191223,3.0021,0,2.6667,1
180,1.60,free,lut,rot180,0.000000,P0|P7|P8|P11|P13|P14|P15,0.779717,0.779717,0.779965,0.245247,1,0.191223,3.0021,0,2.6667,1
0,1.70,free,lut,computed,0.000000,P0|P5|P7|P8|P9|P11|P12|P13|P14|P15,0.751972,0.751972,0.751972,0.287945,1,0.216527,2.8254,0,2.4286,1
180,1.70,free,lut,rot180,0.000000,P0|P5|P7|P8|P9|P11|P12|P13|P14|P15,0.751972,0.751972,0.752046,0.287945,1,0.216527,2.8254,0,2.4286,1
0,1.80,free,lut,computed,0.000000,P0|P6|P8|P10|P12|P13|P15,0.781733,0.781733,0.781733,0.327881,1,0.256315,2.6683,0,2.2500,1
180,1.80,free,lut,rot180,0.000000,P0|P6|P8|P10|P12|P13|P15,0.781733,0.781733,0.781938,0.327881,1,0.256315,2.6683,0,2.2500,1
0,1.90,free,lut,computed,0.000000,P0|P4|P6|P7|P8|P10|P11|P12|P13|P14|P15,0.770306,0.770306,0.770306,0.364870,1,0.281062,2.5278,0,2.1111,1
180,1.90,free,lut,rot180,0.000000,P0|P4|P6|P7|P8|P10|P11|P12|P13|P14|P15,0.770306,0.770306,0.770050,0.364870,1,0.281062,2.5278,0,2.1111,1
0,2.00,free,lut,computed,0.000000,P0|P13,0.806811,0.806811,0.806811,0.398918,2,0.160926,2.4013,1,2.0000,0
180,2.00,free,lut,rot180,0.000000,P0|P13,0.806811,0.806811,0.806811,0.398918,2,0.160926,2.4013,1,2.0000,0
0,2.10,free,lut,computed,0.000000,P0|P4|P6|P7|P8|P9|P10|P11|P12|P13|P14|P15,0.769224,0.769224,0.769224,0.430138,1,0.330873,2.2869,1,2.1000,0
