Phase_Tile,Code_Percent,Displacement_nm,Phase_rad,Phase_pi,TL,TR,BL,BR
P0,1.374204,4.0711,0.056529,0.017994,0,1,0,1
P1,2.140099,6.3400,0.088035,0.028022,0,1,0,0
P2,3.339652,9.8937,0.137379,0.043729,0,0,0,1
P3,4.665105,13.8204,0.191903,0.061085,0,1,1,1
P4,5.801707,17.1876,0.238658,0.075967,0,0,0,0
P5,7.928028,23.4868,0.326126,0.103809,0,1,1,0
P6,11.687558,34.6244,0.480777,0.153036,0,0,1,1
P7,20.252293,59.9974,0.833094,0.265182,0,0,1,0
P8,27.613978,81.8064,1.135922,0.361575,1,1,0,1
P9,30.604116,90.6647,1.258924,0.400728,1,1,0,0
P10,35.112055,104.0195,1.444361,0.459755,1,0,0,1
P11,41.697354,123.5284,1.715253,0.545982,1,0,0,0
P12,48.244182,142.9234,1.984562,0.631706,1,1,1,1
P13,55.619856,164.7738,2.287966,0.728282,1,1,1,0
P14,65.705889,194.6537,2.702862,0.860348,1,0,1,1
P15,100.000000,296.2500,4.113577,1.309392,1,0,1,0
