theta_deg,period_px,anchor,quant_rule,source,shift_frac,levels_used,eta_grating,eta_free_anchor,eta_legacy,eta_envelope,order_split,eta_total,steer_deg,nyquist_ok,alias_period_px,alias_reversed
0,1.00,free,nearest,computed,0.536111,P4,1.000000,1.000000,1.000000,0.006266,2,0.003133,4.8068,0,inf,0
180,1.00,free,nearest,rot180,0.536111,P4,1.000000,1.000000,1.000000,0.006266,2,0.003133,4.8068,0,inf,0
0,1.10,free,nearest,computed,0.227778,P0|P5|P7|P10|P12|P14|P15,0.843574,0.843574,0.730606,0.029645,1,0.025007,4.3689,0,11.0000,1
180,1.10,free,nearest,rot180,0.227778,P0|P5|P7|P10|P12|P14|P15,0.843574,0.843574,0.780043,0.029645,1,0.025007,4.3689,0,11.0000,1
0,1.20,free,nearest,computed,0.855556,P0|P7|P11|P14|P15,0.866217,0.866217,0.828152,0.065326,1,0.056586,4.0042,0,6.0000,1
180,1.20,free,nearest,rot180,0.855556,P0|P7|P11|P14|P15,0.866217,0.866217,0.828380,0.065326,1,0.056586,4.0042,0,6.0000,1
0,1.30,free,nearest,computed,0.113889,P0|P4|P7|P9|P11|P13|P14|P15,0.838270,0.838270,0.776482,0.108108,1,0.090624,3.6958,0,4.3333,1
180,1.30,free,nearest,rot180,0.113889,P0|P4|P7|P9|P11|P13|P14|P15,0.838270,0.838270,0.775933,0.108108,1,0.090624,3.6958,0,4.3333,1
0,1.40,free,nearest,computed,0.108333,P0|P4|P8|P12|P14|P15,0.863783,0.863783,0.828780,0.153996,1,0.133019,3.4315,0,3.5000,1
180,1.40,free,nearest,rot180,0.108333,P0|P4|P8|P12|P14|P15,0.863783,0.863783,0.789203,0.153996,1,0.133019,3.4315,0,3.5000,1
0,1.50,free,nearest,computed,0.000000,P0|P12|P15,0.994877,0.994877,0.909223,0.200273,1,0.199247,3.2024,0,3.0000,1
180,1.50,free,nearest,rot180,0.000000,P0|P12|P15,0.994877,0.994877,0.909110,0.200273,1,0.199247,3.2024,0,3.0000,1
0,1.60,free,nearest,computed,0.169444,P0|P7|P10|P13|P14|P15,0.848708,0.848708,0.779717,0.245247,1,0.208143,3.0021,0,2.6667,1
180,1.60,free,nearest,rot180,0.169444,P0|P7|P10|P13|P14|P15,0.848708,0.848708,0.779965,0.245247,1,0.208143,3.0021,0,2.6667,1
0,1.70,free,nearest,computed,0.144444,P0|P3|P6|P7|P9|P11|P12|P13|P14|P15,0.835703,0.835703,0.751972,0.287945,1,0.240637,2.8254,0,2.4286,1
180,1.70,free,nearest,rot180,0.144444,P0|P3|P6|P7|P9|P11|P12|P13|P14|P15,0.835703,0.835703,0.752046,0.287945,1,0.240637,2.8254,0,2.4286,1
